article_id,article_link,sentence,category,voice
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike," ""Three  of  our  writers  have  been  killed  already. ",palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike," Alnaouq  said  his  father,  two  brothers,  three  sisters,  and  14  nieces  and  nephews  were  killed  on  October  22nd. ",palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike," His  brother,  who  was  next  to  them  on  the  same  bed,  was  killed. ",palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike," ""They  were  sleeping  in  my  home  when  they  were  bombed  and  killed.  """,palestine,
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike, And  he  did  not  deserve  to  die  in  this  barbaric  way. ,palestine,
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike, And  then  he  was  killed. ,palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike, She  and  her  four  children  were  killed. ,palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike, She  and  her  five  children  were  killed. ,palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike, She  and  all  her  children  were  killed. ,palestine,PASSIVE
165,https://www.npr.org/2023/12/06/1217368171/gazan-journalist-says-over-20-members-of-his-family-were-killed-in-airstrike," Since  his  family  was  killed,  Alnaouq  hasn't  had  the  time  to  grieve. ",palestine,PASSIVE
